compatibility_code,section,reference,reference_prefix,reference_group,reference_family,reference_option,reference_variant,options,source_line
0039,STRAIGHT,40.316.004.02-2,40,316,004,02,2,1.25,40.316.004.02-2                            Hex. 1.25                        43.601.104.01-2
0039,STRAIGHT,43.601.104.01-2,43,601,104,01,2,1.25,40.316.004.02-2                            Hex. 1.25                        43.601.104.01-2
0039,STRAIGHT MULTI-UNIT,42.303.039.01-2,42,303,039,01,2,1,1                   42.303.039.01-2
0040,STANDARD DYNAMIC TIBASE,31.312.040.01-2,31,312,040,01,2,,31.312.040.01-2
0040,STANDARD DYNAMIC TIBASE,31.322.040.01-2,31,322,040,01,2,"45º|30º|0,6","0,6                        45º                           30º                        31.322.040.01-2"
0040,STANDARD DYNAMIC TIBASE,31.312.042.01-2,31,312,042,01,2,,31.312.042.01-2
0040,STANDARD DYNAMIC TIBASE,31.322.040.02-2,31,322,040,02,2,"25º|1,5","1,5                                                      25º                       31.322.040.02-2                                 31.312.040.02-2"
0040,STANDARD DYNAMIC TIBASE,31.312.040.02-2,31,312,040,02,2,"25º|1,5","1,5                                                      25º                       31.322.040.02-2                                 31.312.040.02-2"
0040,STANDARD DYNAMIC TIBASE,31.322.040.03-2,31,322,040,03,2,30º|3,3                                                       30º                       31.322.040.03-2                                 31.312.040.03-2
0040,STANDARD DYNAMIC TIBASE,31.312.040.03-2,31,312,040,03,2,30º|3,3                                                       30º                       31.322.040.03-2                                 31.312.040.03-2
0040,STANDARD DYNAMIC TIBASE,31.322.040.04-2,31,322,040,04,2,15º|30º|4,4                         15º                           30º                       31.322.040.04-2                                 31.312.040.04-2
0040,STANDARD DYNAMIC TIBASE,31.312.040.04-2,31,312,040,04,2,15º|30º|4,4                         15º                           30º                       31.322.040.04-2                                 31.312.040.04-2
0040,STANDARD DYNAMIC TIBASE,31.322.040.05-2,31,322,040,05,2,10º|23º|5,5                         10º                           23º                       31.322.040.05-2                                 31.312.040.05-2
0040,STANDARD DYNAMIC TIBASE,31.312.040.05-2,31,312,040,05,2,10º|23º|5,5                         10º                           23º                       31.322.040.05-2                                 31.312.040.05-2
0040,STANDARD DYNAMIC TIBASE,31.322.040.21-2,31,322,040,21,2,"30º|25º|20º|0,6","0,6                       30º                            25º                            20º                    31.322.040.21-2                                 31.312.040.21-2"
