name,description,category,price,stock_quantity,reference,reference_num,ean13,price_match_type,price_reference,retail_name,compatibility_code,ref_segment_1,ref_segment_2,ref_segment_3,ref_segment_4,ref_check_digit,options,generated_description,system_categories,active_system_categories,primary_system_category,is_active_from_categories
Adaptor IO G3 HC. Comp.0021. 5N·cm,,,,0,50.312.021.03-2,50312021032,843656873879,none,,,021,50,312,021,03,2,"43º|24º|1,5;25º|20º|2;20º|30º|3;15º|30º|4;15º|20º;25º|20º|10º|1,5;25º|20º|15º|3;3;1;2;4;1,5|2,9|3,5|5,4","Referenčný kód: 50.312.021.03-2 | Systém: ALFA-GATE | Parametre: 43º|24º|1,5;25º|20º|2;20º|30º|3;15º|30º|4;15º|20º;25º|20º|10º|1,5;25º|20º|15º|3;3;1;2;4;1,5|2,9|3,5|5,4",ADIN;ALFA-GATE;BIONER;CONEXÃO SISTEMA DE PRÓTESE;HAHN IMPLANT (GLIDEWELL);HI-TEC;IMPLANT DIRECT;NOBEL BIOCARE;REFLECT;YOUSE IMPLANTS (SWEDEN & MARTINA GROUP),ALFA-GATE;IMPLANT DIRECT;NOBEL BIOCARE,ALFA-GATE,1
Adaptor IO G3 HC. Comp.0029. 5N·cm,,,,0,50.312.029.03-2,50312029032,843567350137,none,,,029,50,312,029,03,2,"30º|23º|1,2;25º|15º|2;20º|25º|3;15º|25º|4;25º|20º|1,2;25º|20º|15º|2;12;3;1;2;4;2,5|3,9","Referenčný kód: 50.312.029.03-2 | Systém: BIOCONCEPT | Parametre: 30º|23º|1,2;25º|15º|2;20º|25º|3;15º|25º|4;25º|20º|1,2;25º|20º|15º|2;12;3;1;2;4;2,5|3,9",BIOCONCEPT;BTK;NEOBIOTECH;OSSTEM IMPLANT;PALTOP;SEWON MEDIX,BIOCONCEPT;BTK;NEOBIOTECH;OSSTEM IMPLANT,BIOCONCEPT,1
"Adaptor IO G3 HC. Comp.0207, 0208, 0260, 0261, 0262. 5N·cm",,,,0,50.310.207.03-2,50310207032,843656873527,none,,,207,50,310,207,03,2,"35º|15º|1,5;20º|3;15º|4;25º|20º|15º|1,5;20º|15º|10º|3;3;1;2;4;2,5|3,9;3,5|4,9;4,5|5,9","Referenčný kód: 50.310.207.03-2 | Systém: STRAUMANN | Parametre: 35º|15º|1,5;20º|3;15º|4;25º|20º|15º|1,5;20º|15º|10º|3;3;1;2;4;2,5|3,9;3,5|4,9;4,5|5,9",STRAUMANN,STRAUMANN,STRAUMANN,1
Adaptor IO G3 HD. Comp.0015. 5N·cm,,,,0,50.313.015.03-2,50313015032,843656873540,none,,,015,50,313,015,03,2,"43º|23º|1,7;25º|15º|2,5;25º|3;20º|4;15º|5;30º|25º|20º|1;30º|25º|10º|1,7;25º|20º|10º|2,5;25º|20º|10º|3,5;3;1;2","Referenčný kód: 50.313.015.03-2 | Systém: JDENTALCARE | Parametre: 43º|23º|1,7;25º|15º|2,5;25º|3;20º|4;15º|5;30º|25º|20º|1;30º|25º|10º|1,7;25º|20º|10º|2,5;25º|20º|10º|3,5;3;1;2",OXY;JDENTALCARE;MEGAGEN,JDENTALCARE;MEGAGEN,JDENTALCARE,1
Adaptor IO G3 HD. Comp.0152. 5N·cm,,,,0,50.310.152.03-2,50310152032,843567350469,none,,,152,50,310,152,03,2,,Referenčný kód: 50.310.152.03-2,,,,0
Adaptor IO G3 HE. Comp.0006. 5N·cm,,,,0,50.312.006.03-2,50312006032,843656873456,none,,,006,50,312,006,03,2,"40º|20º|1,2;25º|12º|2;20º|30º|3;15º|30º|4;30º|20º|15º|1.2;3;1;2;4;2.5|3,9;3,5|4,9;4,5|5,9","Referenčný kód: 50.312.006.03-2 | Systém: ASTRA | Parametre: 40º|20º|1,2;25º|12º|2;20º|30º|3;15º|30º|4;30º|20º|15º|1.2;3;1;2;4;2.5|3,9;3,5|4,9;4,5|5,9",ASTRA,ASTRA,ASTRA,1
Adaptor IO G3 HE. Comp.0075. 5N·cm,,,,0,50.312.075.03-2,50312075032,843567350476,none,,,075,50,312,075,03,2,"24;42º|24º|1;20º|15º|2;20º|3;15º|4;30º|20º|15º|1;3;2;4;1,8|25|7,5|3,3|6,1|1,4|2,3|1,70;35º|2|25|7,5|2,75|5,9|6,19|1,31","Referenčný kód: 50.312.075.03-2 | Systém: ANKLYOS | Parametre: 24;42º|24º|1;20º|15º|2;20º|3;15º|4;30º|20º|15º|1;3;2;4;1,8|25|7,5|3,3|6,1|1,4|2,3|1,70;35º|2|25|7,5|2,75|5,9|6,19|1,31",ANKLYOS,,ANKLYOS,0
Adaptor IO G3 HI. Comp.0050. 5N·cm,,,,0,50.312.050.04-2,50312050042,843567350304,none,,,050,50,312,050,04,2,"24;3;1;2;31º|2|5|2,8|3,35|3,6|1,4|2,3;45º|2|5|3|3,5|1,5|1,70","Referenčný kód: 50.312.050.04-2 | Systém: BEGO | Parametre: 24;3;1;2;31º|2|5|2,8|3,35|3,6|1,4|2,3;45º|2|5|3|3,5|1,5|1,70",BEGO,BEGO,BEGO,1
"Adaptor IO G3 HI. Comp.0110, 0111. 5N·cm",,,,0,50.310.110.04-2,50310110042,843567350075,none,,,110,50,310,110,04,2,"8;10;12;45º|30º|0,4;3","Referenčný kód: 50.310.110.04-2 | Parametre: 8;10;12;45º|30º|0,4;3",,,,0
Adaptor IO G3 HI. Comp.0167. 5N·cm,,,,0,50.313.167.03-2,50313167032,843567350343,none,,,167,50,313,167,03,2,"43º|30º|0,9;3","Referenčný kód: 50.313.167.03-2 | Systém: LASAK | Parametre: 43º|30º|0,9;3",KUWOTECH;LASAK,LASAK,LASAK,1
